Country Name,Number of cities,City with max length
Madagascar,7,Antananarivo
Malaysia,276,Kampung Paya Simpang Empat Genting
Malta,66,San Pawl il-Bahar
Martinique,18,Les Trois-Ilets
Mauritius,13,Ebene CyberCity
Mayotte,12,Tsoundzou 1
Mexico,748,Ejido Santa Maria Tianguistenco (Ejido el Rosario)
Mongolia,21,Dalandzadgad
Montenegro,10,Herceg Novi
Morocco,47,Fkih Ben Salah
Mozambique,8,Mozambique
Myanmar [Burma],6,Kyauktada
Namibia,16,Katima Mulilo
Nepal,6,Bharatpur
Netherlands,1463,Westerhaar-Vriezenveensewijk
New Caledonia,5,Mont-Dore
New Zealand,280,Paraparaumu Beach
Nicaragua,13,San Juan del Sur
Nigeria,87,Port Harcourt
Norway,905,Vestra Mosterhamn
Oman,7,Al Sohar
Pakistan,70,Dera Ghazi Khan
Palestine,8,Al Mawasi
Panama,73,Finca Blanco Numero Uno
Papua New Guinea,27,Port Moresby
Paraguay,27,Colonia Mariano Roque Alonso
Peru,85,Hacienda La Palma
Philippines,401,Don Bosco Executive Village
Poland,1641,Miedzybrodzie Zywieckie
Portugal,701,Aguiar da Beira Municipality
Puerto Rico,87,Residencial Puerto Real
Republic of Korea,93,Kwanghui-dong
Republic of Lithuania,23,Vilniaus Apskritis
Republic of Moldova,19,Anenii Noi
Romania,355,Campulung Moldovenesc
Russia,1036,Petropavlovsk-Kamchatsky
Saint Lucia,6,Anse La Raye
San Marino,5,Fiorentino
Saudi Arabia,39,Madinat Yanbu` as Sina`iyah
Senegal,12,Madina Kokoun
Serbia,93,Banatsko Novo Selo
Singapore,34,Bukit Panjang New Town
Slovakia,230,Druzstevna pri Hornade
Slovenia,152,Lovrenc na Dravskem Polju
South Africa,328,Emnambithi-Ladysmith
Spain,2454,"Sant Pere, Santa Caterina i La Ribera"
Sri Lanka,37,Sri Jayewardenepura Kotte
Sudan,6,Umm Durman
Suriname,9,Nieuw Amsterdam
Swaziland,5,Piggs Peak
Sweden,1223,Enskede-Arsta-Vantoer
Switzerland,1324,Hausen am Albis / Hausen (Dorf)
Taiwan,66,Kaohsiung City
Tanzania,10,Dar es Salaam
Thailand,166,Ban Pratunam Tha Khai
Trinidad and Tobago,49,Ward of Tacarigua
Tunisia,12,Sidi Bouzid
Turkey,277,Magnesia ad Sipylum
U.S. Virgin Islands,5,Charlotte Amalie
Ukraine,230,Alekseyevo-Druzhkovka
United Arab Emirates,10,Ras al-Khaimah
United Kingdom,3041,London Borough of Wandsworth
United States,20936,Fort Sill Indian School Reservation (historical)
Uruguay,16,Colonia del Sacramento
Venezuela,90,Puerto Ordaz and San Felix
Vietnam,112,Thanh Pho Thai Nguyen
Zambia,9,Livingstone
Zimbabwe,9,Victoria Falls
